NAME;GROUP_COMMON_NAME;GROUP_SCIENTIFIC_NAME
Dryopteridacae;Ferns and fern allies ;Pteridophytes
Dryopteridaceae;Ferns and fern allies ;Pteridophytes
Equisetaceae;Ferns and fern allies ;Pteridophytes
Gleicheniaceae;Ferns and fern allies ;Pteridophytes
Hymenophyllaceae;Ferns and fern allies ;Pteridophytes
Hypodematiaceae;Ferns and fern allies ;Pteridophytes
Isoëtaceae;Ferns and fern allies ;Pteridophytes
Lindsaeaceae;Ferns and fern allies ;Pteridophytes
Lomariopsidaceae;Ferns and fern allies ;Pteridophytes
Lonchitidaceae;Ferns and fern allies ;Pteridophytes
Loxsomataceae;Ferns and fern allies ;Pteridophytes
Lycopodiaceae;Ferns and fern allies ;Pteridophytes
Lygodiaceae;Ferns and fern allies ;Pteridophytes
Marattiaceae;Ferns and fern allies ;Pteridophytes
Marsileaceae;Ferns and fern allies ;Pteridophytes
Matoniaceae;Ferns and fern allies ;Pteridophytes
Metaxyaceae;Ferns and fern allies ;Pteridophytes
Nephrolepidaceae;Ferns and fern allies ;Pteridophytes
Oleandraceae;Ferns and fern allies ;Pteridophytes
Onocleaceae;Ferns and fern allies ;Pteridophytes
Ophioglossaceae;Ferns and fern allies ;Pteridophytes
Osmundaceae;Ferns and fern allies ;Pteridophytes
Plagiogyriaceae;Ferns and fern allies ;Pteridophytes
Polypodiaceae;Ferns and fern allies ;Pteridophytes
Psilotaceae;Ferns and fern allies ;Pteridophytes
Pteridaceae;Ferns and fern allies ;Pteridophytes
Rhachidosoraceae;Ferns and fern allies ;Pteridophytes
Saccolomataceae;Ferns and fern allies ;Pteridophytes
Salviniaceae;Ferns and fern allies ;Pteridophytes
Schizaeaceae;Ferns and fern allies ;Pteridophytes
Selaginellaceae;Ferns and fern allies ;Pteridophytes
Tectariaceae;Ferns and fern allies ;Pteridophytes
Thelypteridaceae;Ferns and fern allies ;Pteridophytes
Thyrsopteridaceae;Ferns and fern allies ;Pteridophytes
Woodsiaceae;Ferns and fern allies ;Pteridophytes
Acrobolbaceae;Mosses and liverworts ;Bryophytes
Adelanthaceae;Mosses and liverworts ;Bryophytes
Allisoniaceae;Mosses and liverworts ;Bryophytes
Amblystegiaceae;Mosses and liverworts ;Bryophytes
Anastrophyllaceae;Mosses and liverworts ;Bryophytes
Andreaeaceae;Mosses and liverworts ;Bryophytes
Andreaeobryaceae;Mosses and liverworts ;Bryophytes
Aneuraceae;Mosses and liverworts ;Bryophytes
Antheliaceae;Mosses and liverworts ;Bryophytes
Anthocerotaceae;Mosses and liverworts ;Bryophytes
Archidiaceae;Mosses and liverworts ;Bryophytes
Arnelliaceae;Mosses and liverworts ;Bryophytes
Aulacomniaceae;Mosses and liverworts ;Bryophytes
Aytoniaceae;Mosses and liverworts ;Bryophytes
Balantiopsaceae;Mosses and liverworts ;Bryophytes
Bartramiaceae;Mosses and liverworts ;Bryophytes
Blasiaceae;Mosses and liverworts ;Bryophytes
Brachytheciaceae;Mosses and liverworts ;Bryophytes
Brevianthaceae;Mosses and liverworts ;Bryophytes
Bruchiaceae;Mosses and liverworts ;Bryophytes
Bryaceae;Mosses and liverworts ;Bryophytes
Bryobartramiaceae;Mosses and liverworts ;Bryophytes
Bryoxiphiaceae;Mosses and liverworts ;Bryophytes
Buxbaumiaceae;Mosses and liverworts ;Bryophytes
Calomniaceae;Mosses and liverworts ;Bryophytes
Calymperaceae;Mosses and liverworts ;Bryophytes
Calypogeiaceae;Mosses and liverworts ;Bryophytes
Catagoniaceae;Mosses and liverworts ;Bryophytes
Catoscopiaceae;Mosses and liverworts ;Bryophytes
Cephaloziaceae;Mosses and liverworts ;Bryophytes
Cephaloziellaceae;Mosses and liverworts ;Bryophytes
Chaetophyllopsaceae;Mosses and liverworts ;Bryophytes
